name,rating,date,text
Wigita Nana,1,8 bulan lalu,"Tiket masuk mahal 35rb,mobil 10rb,parkir masih byr lagi,duduk bayar 100rb,nyebrang byr 200rb,ya cukup sekali ajalah kesini."
Ade Rinaldi,4,8 bulan lalu,Bagus cuma tempat bermain anak terbatas karena kedalaman pantai
Ade Rinaldi,4,8 bulan lalu,Bagus cuma tempat bermain anak terbatas karena kedalaman pantai
Venna fatika,5,8 bulan lalu,"Pantainya bersih, ombaknya ga terlalu besar cocok untuk bawa keluarga yang masih punya anak² kecil,"
Venna fatika,5,8 bulan lalu,"Pantainya bersih, ombaknya ga terlalu besar cocok untuk bawa keluarga yang masih punya anak² kecil,"
Eric “EJ” Octav,5,8 bulan lalu,Untuk pantainya ok lah sayang masuknya dengan fasilitas yang ada sepertinya kurang sebanding yaa..
Eric “EJ” Octav,5,8 bulan lalu,Untuk pantainya ok lah sayang masuknya dengan fasilitas yang ada sepertinya kurang sebanding yaa..
Muhammad Syobirin,5,8 bulan lalu,
Muhammad Syobirin,5,8 bulan lalu,
Nas Wandi,5,8 bulan lalu,Pantai selalu ramai di weekend
Nas Wandi,5,8 bulan lalu,Pantai selalu ramai di weekend
Muharam Agustriawan,5,8 bulan lalu,"Pantai disini cocok untk anak-anak, karena ombak nya g terlalu besar"
Muharam Agustriawan,5,8 bulan lalu,"Pantai disini cocok untk anak-anak, karena ombak nya g terlalu besar"
evitry gultom,2,Diedit 8 bulan lalu,
evitry gultom,2,Diedit 8 bulan lalu,
Ichwan Chafidhuddin,5,8 bulan lalu,"Bawa rombongan dari jogja , kesini"
Ichwan Chafidhuddin,5,8 bulan lalu,"Bawa rombongan dari jogja , kesini"
Julia Yurif,5,Diedit 8 bulan lalu,"Pantainya baguss, lumayan rapi, kalau lagi hari liburr beehh rame betul wkwkk, better pas bukan hari libur, tapiiiiiii bintang 5 buat bapak yang punya perahu iniiii super ramah, jago ngefotoin"
Julia Yurif,5,Diedit 8 bulan lalu,"Pantainya baguss, lumayan rapi, kalau lagi hari liburr beehh rame betul wkwkk, better pas bukan hari libur, tapiiiiiii bintang 5 buat bapak yang punya perahu iniiii super ramah, jago ngefotoin"
Merry Agustina,5,8 bulan lalu,
